Mol Form,SMILES
,
C19H21ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OCC)=O)CC2)C3=CC=CN=C3
,OC(c1ccc(Cl)cc1)(c2cccnc2)c3ccccc3Cl
C19H21ClFN3O2,CCOC(=O)N1CCN(CC1)C(c2cccnc2)c3ccc(Cl)cc3F
C20H12F4N2O,OC(c1ccc(cc1)C(F)(F)F)(c2cccnc2)c3ccc(cc3F)C#N
C24H21ClF3N3O,FC(F)(F)c1ccc(cc1)N2CCN(CC2)C(=O)C(c3ccc(Cl)cc3)c4cccnc4
C20H12F4N2O,FC1=CC(C#N)=CC=C1C(C2=CC=C(C(F)(F)F)C=C2)(O)C3=CN=CC=C3
C19H12BrF4NO,BrC1=CC=C(C(C2=CC=C(C(F)(F)F)C=C2)(O)C3=CN=CC=C3)C(F)=C1
,Fc1cc(Cl)ccc1C(N2CCN(CC2)c3ccccc3)c4cccnc4
,OC(c1ccc(cc1)C(F)(F)F)(c2cccnc2)c3ccccc3F
C19H13ClN2O,OC(c1ccc(Cl)cc1)(c2cccnc2)c3ccccc3C#N
C19H15BrClNO,ClC(C=C1)=CC=C1C(C2=CC=CC=C2Br)(OC)C3=CN=CC=C3
C24H21ClF3N3O,FC(F)(F)c1ccc(cc1)N2CCN(CC2)C(=O)C(c3ccc(Cl)cc3)c4cccnc4
C21H25ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OC(C)(C)C)=O)CC2)C3=CC=CN=C3
C18H13BrClNO,OC(C1=CC=C(Cl)C=C1)(C2=CC=CC=C2Br)C3=CN=CC=C3
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)C3CC3)c4cccnc4
,OC(c1ccc(Cl)cc1)(c2cccnc2)c3cccs3
C18H19ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OC)=O)CC2)C3=CC=CN=C3
C17H18ClFN2,Fc1cc(Cl)ccc1C(c1cccnc1)N1CCCCC1
C18H14BrClN2,NC(C1=CC=C(Cl)C=C1)(C2=CC=CC=C2Br)C3=CN=CC=C3
,OC(c1ccc(cc1)C(F)(F)F)(c2ccc(cc2)C(F)(F)F)c3cc4ccccc4[nH]3
C20H13F3N2O,OC(C1=CN=CC=C1)(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C#N)C=C3
C21H27Cl3N2O3,O=C(COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3)O.[H]Cl.[H]Cl
C19H13BrF3NO,BrC1=CC=C(C(C2=CC=C(C(F)(F)F)C=C2)(O)C3=CN=CC=C3)C=C1
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)Nc3ccccc3)c4cccnc4
,OC(c1ccc(Cl)cc1)(c2ccc(cc2)C#N)c3cccnc3
C16H16ClFN2O,Fc1cc(Cl)ccc1C(c1cccnc1)N1CCOCC1
C23H23ClFN3O,FC1=CC(Cl)=CC=C1C(N2CCN(C3=CC=C(OC)C=C3)CC2)C4=CN=CC=C4
C17H18ClFN2O,FC(C=C(Cl)C=C1)=C1C(N2CCC(O)CC2)C3=CC=CN=C3
C18H13BrClN,[H]C(C1=CC=C(Cl)C=C1)(C2=CC=CC=C2Br)C3=CN=CC=C3
C21H25ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OCC)=O)C(C)(C)C2)C3=CC=CN=C3
C20H23ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OCC)=O)CC2C)C3=CC=CN=C3
C20H23ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OCC)=O)CC2C)C3=CC=CN=C3
C24H23ClFN3O2,FC1=CC(Cl)=CC=C1C(N2CCN(C(OCC3=CC=CC=C3)=O)CC2)C4=CC=CN=C4
,CCCCC(O)(c1ccc(Cl)cc1)c2cncnc2
C19H23ClFN3O,FC(C=C(Cl)C=C1)=C1C(N2CCN(CCCO)CC2)C3=CC=CN=C3
C21H20ClFN4,FC1=CC(Cl)=CC=C1C(N2CCN(C3=CC=NC=C3)CC2)C4=CN=CC=C4
C21H20ClFN4,FC1=CC(Cl)=CC=C1C(N2CCN(C3=CC=CC=N3)CC2)C4=CN=CC=C4
C16H12ClN3O,OC(c1ccc(Cl)cc1)(c2cccnc2)c3cncnc3
C18H15Cl2NO,Cn1cccc1C(O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3
C18H22ClN3,CCN1CCN(CC1)C(c2ccc(Cl)cc2)c3cccnc3
C19H20ClN3,Clc1ccc(cc1)C(CC2CCCCC2)(C#N)c3cnccn3
C14H12F3N3O,CC(=O)NC(c1ccc(cc1)C(F)(F)F)c2cnccn2
C19H16F3N3O2S,FC(F)(F)c1ccc(cc1)C(NS(=O)(=O)Cc2ccccc2)c3cnccn3
C15H10Cl2N2OS,OC(c1ccc(Cl)cc1)(c2cccnc2)c3cnc(Cl)s3
C25H26ClN3O3,CC(C)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(c3ccc(Cl)cc3)c4cccnc4
C25H28ClN3O2S,CC(C)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(c3ccc(Cl)cc3)c4cccnc4
C23H21F5N4O2S,Fc1ccc(C(NC2CCN(CC2)S(=O)(=O)c3ccc(cc3)C(F)(F)F)c4cnccn4)c(F)c1
